filename,label,count,percentage,file_total_rows
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DDoS,128027,56.7131,225745
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,BENIGN,97718,43.2869,225745
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,PortScan,158930,55.4793,286467
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,BENIGN,127537,44.5207,286467
Friday-WorkingHours-Morning.pcap_ISCX.csv,BENIGN,189067,98.9709,191033
Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,1966,1.0291,191033
Monday-WorkingHours.pcap_ISCX.csv,BENIGN,529918,100.0,529918
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,BENIGN,288566,99.9875,288602
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Infiltration,36,0.0125,288602
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,BENIGN,168186,98.7204,170366
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Brute Force,1507,0.8846,170366
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � XSS,652,0.3827,170366
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Sql Injection,21,0.0123,170366
Tuesday-WorkingHours.pcap_ISCX.csv,BENIGN,432074,96.8973,445909
Tuesday-WorkingHours.pcap_ISCX.csv,FTP-Patator,7938,1.7802,445909
Tuesday-WorkingHours.pcap_ISCX.csv,SSH-Patator,5897,1.3225,445909
Wednesday-workingHours.pcap_ISCX.csv,BENIGN,440031,63.5238,692703
Wednesday-workingHours.pcap_ISCX.csv,DoS Hulk,231073,33.3582,692703
Wednesday-workingHours.pcap_ISCX.csv,DoS GoldenEye,10293,1.4859,692703
Wednesday-workingHours.pcap_ISCX.csv,DoS slowloris,5796,0.8367,692703
Wednesday-workingHours.pcap_ISCX.csv,DoS Slowhttptest,5499,0.7938,692703
Wednesday-workingHours.pcap_ISCX.csv,Heartbleed,11,0.0016,692703
