file,label,feature,count,missing,mean,median,std,min,max
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,BENIGN,Flow Bytes/s,97686,32,1272497.8025920899,2220.0356835000002,25595420.873773932,-12000000.0,2070000000.0
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,BENIGN,Flow Packets/s,97686,32,32678.93565185761,27.462722595000002,172868.67809685823,-2000000.0,3000000.0
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DDoS,Flow Bytes/s,128025,2,61117.88418342388,160.1013014,1471895.2652643172,0.221218089,347000000.0
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DDoS,Flow Packets/s,128025,2,172.78859462402585,2.589675275,9961.50950347371,0.036869681,2000000.0
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,BENIGN,Flow Bytes/s,127292,245,2236941.891748341,5681.1762985000005,38471066.28582989,-193000000.0,2070000000.0
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,BENIGN,Flow Packets/s,127292,245,61954.7875841588,112.6337963,250077.605444433,-2000000.0,3000000.0
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,PortScan,Flow Bytes/s,158804,126,220359.7516864558,139534.8837,459863.6915082754,0.0,8000000.0
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,PortScan,Flow Packets/s,158804,126,62690.56565466473,42553.19149,127930.0003491933,0.033386269,2000000.0
Friday-WorkingHours-Morning.pcap_ISCX.csv,BENIGN,Flow Bytes/s,188955,112,1786233.8542131097,5737.538149,24767077.601428624,-12000000.0,2070000000.0
Friday-WorkingHours-Morning.pcap_ISCX.csv,BENIGN,Flow Packets/s,188955,112,53047.54198729663,97.9767795,216623.3163731164,-2000000.0,3000000.0
Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,Flow Bytes/s,1956,10,307099.1459629759,5021.9540959999995,923203.4074011953,0.0,12000000.0
Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,Flow Packets/s,1956,10,46841.27914593441,101.3413433,152259.3489639741,0.29899021,2000000.0
Monday-WorkingHours.pcap_ISCX.csv,BENIGN,Flow Bytes/s,529481,437,1613266.787261436,5556.2571031696,24627660.865261212,-12000000.0,2071000000.0
Monday-WorkingHours.pcap_ISCX.csv,BENIGN,Flow Packets/s,529481,437,66238.02465180564,114.4813137876,235212.31330315673,-2000000.0,3000000.0
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,BENIGN,Flow Bytes/s,288359,207,1588979.792009482,19352.84468,27056130.689584643,-12000000.0,2070000000.0
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,BENIGN,Flow Packets/s,288359,207,102489.41262119297,10256.41026,293679.64493864204,-2000000.0,4000000.0
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Infiltration,Flow Bytes/s,36,0,20188.219030217413,173.35137005,99596.2104975113,1.273469017,600000.0
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Infiltration,Flow Packets/s,36,0,2820.063039879666,0.997978426,16660.219396947035,0.053061209,100000.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,BENIGN,Flow Bytes/s,168051,135,1810401.7234063917,5024.223937,30315244.92562022,-261000000.0,2070000000.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,BENIGN,Flow Packets/s,168051,135,55207.89190061122,98.59988168,227899.74497763903,-2000000.0,3000000.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Brute Force,Flow Bytes/s,1507,0,179.28074241463835,0.0,764.9599490565768,0.0,7589.090322
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Brute Force,Flow Packets/s,1507,0,3684.902271969808,0.739068393,12886.327756184948,0.666629113,100000.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Sql Injection,Flow Bytes/s,21,0,318.7348374904762,210.2198804,341.29001441037735,0.0,947.4353908
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Sql Injection,Flow Packets/s,21,0,12794.102122569906,1.993318794,17397.224920226978,1.57793199,47619.04762
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � XSS,Flow Bytes/s,652,0,103.3465753291411,0.0,571.7721808792159,0.0,4134.873737
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � XSS,Flow Packets/s,652,0,1565.9592076025401,0.7451769685,21189.488041914727,0.667181842,500000.0
Tuesday-WorkingHours.pcap_ISCX.csv,BENIGN,Flow Bytes/s,431813,261,1411772.8302884216,2646.763009,23595683.876958787,0.0,2070000000.0
Tuesday-WorkingHours.pcap_ISCX.csv,BENIGN,Flow Packets/s,431813,261,58796.00646538484,120.3932847,230343.18325895522,-2000000.0,3000000.0
Tuesday-WorkingHours.pcap_ISCX.csv,FTP-Patator,Flow Bytes/s,7935,3,799464.592791429,38.20497534,2129157.586613374,0.0,14000000.0
Tuesday-WorkingHours.pcap_ISCX.csv,FTP-Patator,Flow Packets/s,7935,3,115888.88756921893,3.198826244,305907.3520071561,0.766852494,3000000.0
Tuesday-WorkingHours.pcap_ISCX.csv,SSH-Patator,Flow Bytes/s,5897,0,439.81812140844835,326.1023863,8710.87322471386,0.0,600000.0
Tuesday-WorkingHours.pcap_ISCX.csv,SSH-Patator,Flow Packets/s,5897,0,15435.235128040913,9.695853205,33034.14104101901,0.250475632,2000000.0
Wednesday-workingHours.pcap_ISCX.csv,BENIGN,Flow Bytes/s,439683,348,2433047.1299290294,5390.139595,33834613.32910124,-12000000.0,2070000000.0
Wednesday-workingHours.pcap_ISCX.csv,BENIGN,Flow Packets/s,439683,348,60813.25230407571,101.0049997,232914.2859500611,-2000000.0,3000000.0
Wednesday-workingHours.pcap_ISCX.csv,DoS GoldenEye,Flow Bytes/s,10293,0,688.2390583501724,650.3299706,633.9568582695081,0.0,3662.725997
Wednesday-workingHours.pcap_ISCX.csv,DoS GoldenEye,Flow Packets/s,10293,0,9.136096453999514,0.980972959,114.80194568970153,0.016717574,3081.664099
Wednesday-workingHours.pcap_ISCX.csv,DoS Hulk,Flow Bytes/s,230124,949,29401.71625300773,121.1692036,324086.22565883654,0.0,12600000.0
Wednesday-workingHours.pcap_ISCX.csv,DoS Hulk,Flow Packets/s,230124,949,182511.91636528034,0.162737231,446180.75158091914,0.017486315,3000000.0
Wednesday-workingHours.pcap_ISCX.csv,DoS Slowhttptest,Flow Bytes/s,5499,0,21642420.626460485,0.0,134828649.66606513,0.0,1980000000.0
Wednesday-workingHours.pcap_ISCX.csv,DoS Slowhttptest,Flow Packets/s,5499,0,22235.778506778544,0.110913085,136049.87820789946,0.063636858,2000000.0
Wednesday-workingHours.pcap_ISCX.csv,DoS slowloris,Flow Bytes/s,5796,0,43921.22344696996,2.2313881235,266856.0330185179,0.0,6155172.414
Wednesday-workingHours.pcap_ISCX.csv,DoS slowloris,Flow Packets/s,5796,0,4231.879565032642,0.179852007,20684.985562783186,0.025889992,1000000.0
Wednesday-workingHours.pcap_ISCX.csv,Heartbleed,Flow Bytes/s,11,0,65902.80217272727,66172.23234,847.0789975907747,63411.92802,66510.80696
Wednesday-workingHours.pcap_ISCX.csv,Heartbleed,Flow Packets/s,11,0,40.55898991363636,40.83548839,1.2300047308734297,36.99831575,41.50541348
